Latitude (decimal degrees):	1.357
Longitude (decimal degrees):	103.820
Elevation (m):	53
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230722:0830,250.75,146.75,0.0,37.88,28.16,4.0,0.0
20230722:0930,201.35,86.5,0.0,24.09,28.36,4.21,0.0
20230722:1030,61.55,41.4,0.0,10.08,28.52,5.66,0.0
20230722:1130,0.0,0.0,0.0,-3.98,28.7,5.38,0.0
20230722:1230,0.0,0.0,0.0,0.0,28.83,4.76,0.0
20230722:1330,0.0,0.0,0.0,0.0,28.91,4.76,0.0
20230722:1430,0.0,0.0,0.0,0.0,28.93,4.34,0.0
20230722:1530,0.0,0.0,0.0,0.0,28.87,3.72,0.0
20230722:1630,0.0,0.0,0.0,0.0,28.68,3.59,0.0
20230722:1730,0.0,0.0,0.0,0.0,27.7,3.38,0.0
20230722:1830,0.0,0.0,0.0,0.0,26.86,3.38,0.0
20230722:1930,0.0,0.0,0.0,0.0,26.77,3.66,0.0
20230722:2030,0.0,0.0,0.0,0.0,26.63,4.14,0.0
20230722:2130,0.0,0.0,0.0,0.0,26.88,4.48,0.0
20230722:2230,0.0,0.0,0.0,0.0,27.24,4.0,0.0
20230722:2330,19.9,18.44,0.0,4.93,27.22,5.38,0.0
20230723:0030,130.95,78.35,0.0,18.98,27.25,5.31,0.0
20230723:0130,250.65,148.7,0.0,32.9,27.08,6.62,0.0
20230723:0230,306.95,225.5,0.0,46.43,26.82,6.21,0.0
20230723:0330,303.0,303.8,0.0,59.0,27.21,5.31,0.0
20230723:0430,394.25,283.7,0.0,68.74,27.3,4.83,0.0
20230723:0530,412.3,281.75,0.0,70.69,27.17,4.34,0.0
20230723:0630,493.5,199.75,0.0,63.1,27.34,3.66,0.0
20230723:0730,263.0,203.9,0.0,51.22,27.5,3.59,0.0
20230723:0830,142.0,155.5,0.0,37.94,27.84,2.97,0.0
20230723:0930,103.1,99.2,0.0,24.13,27.85,3.17,0.0
20230723:1030,49.15,43.1,0.0,10.1,27.48,1.38,0.0
20230723:1130,0.0,0.0,0.0,-3.98,27.85,1.38,0.0
20230723:1230,0.0,0.0,0.0,0.0,28.16,1.52,0.0
20230723:1330,0.0,0.0,0.0,0.0,28.18,2.07,0.0
20230723:1430,0.0,0.0,0.0,0.0,28.29,2.34,0.0
20230723:1530,0.0,0.0,0.0,0.0,28.17,2.14,0.0
20230723:1630,0.0,0.0,0.0,0.0,28.15,2.21,0.0
20230723:1730,0.0,0.0,0.0,0.0,28.18,2.62,0.0
20230723:1830,0.0,0.0,0.0,0.0,28.1,3.38,0.0
20230723:1930,0.0,0.0,0.0,0.0,27.12,3.45,0.0
20230723:2030,0.0,0.0,0.0,0.0,26.77,4.07,0.0
20230723:2130,0.0,0.0,0.0,0.0,26.3,4.62,0.0
20230723:2230,0.0,0.0,0.0,0.0,26.43,4.21,0.0
20230723:2330,18.3,15.68,0.0,4.92,27.31,4.62,0.0
20230724:0030,86.1,93.35,0.0,18.99,27.68,5.03,0.0
20230724:0130,62.3,139.3,0.0,32.93,27.99,5.31,0.0
20230724:0230,78.7,193.45,0.0,46.5,28.23,5.1,0.0
20230724:0330,60.55,200.65,0.0,59.11,28.4,4.83,0.0
20230724:0430,145.75,289.85,0.0,68.91,28.58,4.62,0.0
20230724:0530,303.35,264.55,0.0,70.89,28.67,4.83,0.0
20230724:0630,625.8,163.55,0.0,63.24,28.74,4.9,0.0
20230724:0730,556.15,117.3,0.0,51.32,28.8,4.83,0.0
20230724:0830,420.5,102.8,0.0,38.0,28.87,4.9,0.0
20230724:0930,182.75,100.7,0.0,24.16,28.88,4.9,0.0
20230724:1030,43.05,51.8,0.0,10.11,29.35,4.07,0.0
20230724:1130,0.0,0.0,0.0,-3.98,29.47,4.14,0.0
20230724:1230,0.0,0.0,0.0,0.0,29.45,4.28,0.0
20230724:1330,0.0,0.0,0.0,0.0,29.34,5.24,0.0
20230724:1430,0.0,0.0,0.0,0.0,29.24,5.93,0.0
20230724:1530,0.0,0.0,0.0,0.0,29.06,5.86,0.0
20230724:1630,0.0,0.0,0.0,0.0,28.98,5.52,0.0
20230724:1730,0.0,0.0,0.0,0.0,28.92,5.1,0.0
20230724:1830,0.0,0.0,0.0,0.0,28.86,4.97,0.0
20230724:1930,0.0,0.0,0.0,0.0,28.8,5.1,0.0
20230724:2030,0.0,0.0,0.0,0.0,28.79,4.83,0.0
20230724:2130,0.0,0.0,0.0,0.0,28.8,4.97,0.0
20230724:2230,0.0,0.0,0.0,0.0,28.67,5.1,0.0
20230724:2330,22.35,19.55,0.0,4.91,28.63,5.66,0.0
20230725:0030,135.2,91.65,0.0,19.01,28.6,6.34,0.0
20230725:0130,308.0,132.0,0.0,32.97,28.66,6.41,0.0
20230725:0230,478.25,150.3,0.0,46.56,28.67,5.52,0.0
20230725:0330,686.2,116.05,0.0,59.22,28.66,5.17,0.0
20230725:0430,704.5,154.85,0.0,69.09,28.66,5.03,0.0
20230725:0530,705.85,149.7,0.0,71.09,28.73,5.1,0.0
20230725:0630,730.85,120.35,0.0,63.38,28.75,5.03,0.0
20230725:0730,589.35,121.3,0.0,51.41,28.72,5.31,0.0
20230725:0830,391.6,126.0,0.0,38.06,28.72,5.72,0.0
20230725:0930,226.05,88.0,0.0,24.19,28.71,6.0,0.0
20230725:1030,64.7,41.35,0.0,10.13,29.15,4.34,0.0
20230725:1130,0.0,0.0,0.0,-3.99,29.25,4.41,0.0
20230725:1230,0.0,0.0,0.0,0.0,29.41,4.62,0.0
20230725:1330,0.0,0.0,0.0,0.0,29.49,4.69,0.0
20230725:1430,0.0,0.0,0.0,0.0,29.53,4.48,0.0
20230725:1530,0.0,0.0,0.0,0.0,29.46,4.62,0.0
20230725:1630,0.0,0.0,0.0,0.0,29.37,4.62,0.0
20230725:1730,0.0,0.0,0.0,0.0,29.25,4.69,0.0
20230725:1830,0.0,0.0,0.0,0.0,29.15,4.83,0.0
20230725:1930,0.0,0.0,0.0,0.0,29.06,5.24,0.0
20230725:2030,0.0,0.0,0.0,0.0,28.89,5.52,0.0
20230725:2130,0.0,0.0,0.0,0.0,28.6,5.79,0.0
20230725:2230,0.0,0.0,0.0,0.0,28.92,5.31,0.0
20230725:2330,19.7,19.99,0.0,4.91,28.79,6.0,0.0
20230726:0030,127.0,74.25,0.0,19.03,28.72,6.41,0.0
20230726:0130,293.85,112.55,0.0,33.01,28.65,6.0,0.0
20230726:0230,384.8,166.8,0.0,46.64,28.62,5.59,0.0
20230726:0330,507.65,182.75,0.0,59.34,28.77,5.59,0.0
20230726:0430,597.6,195.95,0.0,69.28,28.85,6.34,0.0
20230726:0530,613.8,166.0,0.0,71.3,28.79,6.07,0.0
20230726:0630,562.9,143.6,0.0,63.53,28.81,5.72,0.0
20230726:0730,499.55,138.25,0.0,51.5,28.98,5.79,0.0
20230726:0830,316.05,129.25,0.0,38.11,28.98,5.66,0.0
20230726:0930,166.4,93.25,0.0,24.23,29.04,6.0,0.0
20230726:1030,35.25,44.6,0.0,10.14,28.86,4.97,0.0
20230726:1130,0.0,0.0,0.0,-4.0,28.99,4.69,0.0
20230726:1230,0.0,0.0,0.0,0.0,28.4,4.28,0.0
20230726:1330,0.0,0.0,0.0,0.0,27.4,5.03,0.0
20230726:1430,0.0,0.0,0.0,0.0,27.6,5.59,0.0
20230726:1530,0.0,0.0,0.0,0.0,27.84,5.86,0.0
20230726:1630,0.0,0.0,0.0,0.0,28.15,6.28,0.0
20230726:1730,0.0,0.0,0.0,0.0,28.31,6.34,0.0
20230726:1830,0.0,0.0,0.0,0.0,28.42,6.41,0.0
20230726:1930,0.0,0.0,0.0,0.0,28.39,6.48,0.0
20230726:2030,0.0,0.0,0.0,0.0,28.28,6.55,0.0
20230726:2130,0.0,0.0,0.0,0.0,28.32,6.62,0.0
20230726:2230,0.0,0.0,0.0,0.0,28.43,4.97,0.0
20230726:2330,14.65,20.98,0.0,4.91,28.49,5.45,0.0
20230727:0030,108.3,93.65,0.0,19.05,28.53,5.66,0.0
20230727:0130,269.65,131.95,0.0,33.05,28.57,5.66,0.0
20230727:0230,360.7,153.15,0.0,46.71,28.76,6.14,0.0
20230727:0330,518.9,167.25,0.0,59.46,28.86,6.76,0.0
20230727:0430,644.1,160.35,0.0,69.47,28.98,6.83,0.0
20230727:0530,632.35,179.65,0.0,71.52,29.0,6.41,0.0
20230727:0630,623.4,156.45,0.0,63.67,29.03,6.21,0.0
20230727:0730,445.3,180.4,0.0,51.59,29.02,6.14,0.0
20230727:0830,269.45,156.85,0.0,38.17,29.06,6.21,0.0
20230727:0930,168.6,114.8,0.0,24.26,29.09,6.41,0.0
20230727:1030,60.65,46.6,0.0,10.15,29.28,6.0,0.0
20230727:1130,0.0,0.0,0.0,-4.01,29.32,6.0,0.0
20230727:1230,0.0,0.0,0.0,0.0,29.38,5.72,0.0
20230727:1330,0.0,0.0,0.0,0.0,29.46,5.31,0.0
20230727:1430,0.0,0.0,0.0,0.0,29.5,5.03,0.0
20230727:1530,0.0,0.0,0.0,0.0,29.46,4.83,0.0
20230727:1630,0.0,0.0,0.0,0.0,29.35,4.83,0.0
20230727:1730,0.0,0.0,0.0,0.0,29.19,4.9,0.0
20230727:1830,0.0,0.0,0.0,0.0,29.0,5.03,0.0
20230727:1930,0.0,0.0,0.0,0.0,28.89,4.83,0.0
20230727:2030,0.0,0.0,0.0,0.0,28.81,4.83,0.0
20230727:2130,0.0,0.0,0.0,0.0,28.79,4.83,0.0
20230727:2230,0.0,0.0,0.0,0.0,28.02,4.21,0.0
20230727:2330,6.0,26.71,0.0,4.91,27.84,4.55,0.0
20230728:0030,82.2,96.8,0.0,19.07,27.47,5.66,0.0
20230728:0130,176.2,184.1,0.0,33.1,27.48,6.55,0.0
20230728:0230,295.45,192.05,0.0,46.79,27.41,6.0,0.0
20230728:0330,517.35,185.05,0.0,59.58,27.39,5.86,0.0
20230728:0430,388.7,222.45,0.0,69.67,27.49,5.86,0.0
20230728:0530,399.35,262.3,0.0,71.74,27.55,5.72,0.0
20230728:0630,554.0,207.2,0.0,63.82,27.84,5.59,0.0
20230728:0730,463.0,189.7,0.0,51.67,28.18,5.59,0.0
20230728:0830,291.75,182.85,0.0,38.22,28.32,5.79,0.0
20230728:0930,129.0,120.9,0.0,24.28,28.56,5.93,0.0
20230728:1030,17.45,63.95,0.0,10.15,29.07,4.48,0.0
20230728:1130,0.0,0.0,0.0,-4.02,29.09,4.97,0.0
20230728:1230,0.0,0.0,0.0,0.0,29.06,6.0,0.0
20230728:1330,0.0,0.0,0.0,0.0,29.02,6.07,0.0
20230728:1430,0.0,0.0,0.0,0.0,29.02,6.41,0.0
20230728:1530,0.0,0.0,0.0,0.0,28.9,6.55,0.0
20230728:1630,0.0,0.0,0.0,0.0,27.87,6.9,0.0
20230728:1730,0.0,0.0,0.0,0.0,27.25,7.03,0.0
20230728:1830,0.0,0.0,0.0,0.0,27.32,7.24,0.0
20230728:1930,0.0,0.0,0.0,0.0,27.56,7.66,0.0
20230728:2030,0.0,0.0,0.0,0.0,27.51,7.79,0.0
20230728:2130,0.0,0.0,0.0,0.0,27.52,7.66,0.0
20230728:2230,0.0,0.0,0.0,0.0,27.53,6.21,0.0
20230728:2330,8.1,25.54,0.0,4.91,27.57,6.97,0.0
20230729:0030,61.2,101.4,0.0,19.1,27.42,7.38,0.0
20230729:0130,195.3,153.0,0.0,33.15,27.48,7.86,0.0
20230729:0230,317.15,223.95,0.0,46.87,27.19,7.93,0.0
20230729:0330,173.45,276.9,0.0,59.71,26.99,6.9,0.0
20230729:0430,408.7,246.2,0.0,69.87,26.93,7.38,0.0
20230729:0530,514.65,205.7,0.0,71.96,26.96,7.17,0.0
20230729:0630,511.95,214.95,0.0,63.96,26.95,7.31,0.0
20230729:0730,344.25,195.65,0.0,51.76,27.43,7.72,0.0
20230729:0830,239.35,204.5,0.0,38.27,27.77,8.41,0.0
20230729:0930,81.85,140.2,0.0,24.31,28.15,8.55,0.0
20230729:1030,25.25,58.0,0.0,10.16,29.1,5.66,0.0
20230729:1130,0.0,0.0,0.0,-4.04,29.24,6.9,0.0
20230729:1230,0.0,0.0,0.0,0.0,29.35,6.55,0.0
20230729:1330,0.0,0.0,0.0,0.0,29.34,6.76,0.0
20230729:1430,0.0,0.0,0.0,0.0,29.31,6.0,0.0
20230729:1530,0.0,0.0,0.0,0.0,29.11,6.07,0.0
20230729:1630,0.0,0.0,0.0,0.0,28.95,6.41,0.0
20230729:1730,0.0,0.0,0.0,0.0,28.82,6.48,0.0
20230729:1830,0.0,0.0,0.0,0.0,28.72,6.41,0.0
20230729:1930,0.0,0.0,0.0,0.0,28.48,6.41,0.0
20230729:2030,0.0,0.0,0.0,0.0,28.56,6.62,0.0
20230729:2130,0.0,0.0,0.0,0.0,28.35,6.97,0.0
20230729:2230,0.0,0.0,0.0,0.0,27.8,7.1,0.0
20230729:2330,19.0,19.28,0.0,4.92,27.28,6.07,0.0
20230730:0030,86.95,84.75,0.0,19.12,27.08,6.76,0.0
20230730:0130,176.15,164.45,0.0,33.2,27.06,7.03,0.0
20230730:0230,308.4,220.05,0.0,46.95,27.33,6.9,0.0
20230730:0330,421.5,239.05,0.0,59.85,27.71,7.1,0.0
20230730:0430,486.95,240.3,0.0,70.08,28.14,7.31,0.0
20230730:0530,560.0,219.85,0.0,72.19,28.45,7.66,0.0
20230730:0630,561.9,218.75,0.0,64.11,28.67,7.93,0.0
20230730:0730,561.85,121.2,0.0,51.85,28.66,8.0,0.0
20230730:0830,368.15,110.55,0.0,38.32,28.8,7.93,0.0
20230730:0930,191.7,88.8,0.0,24.33,28.96,8.14,0.0
20230730:1030,56.1,39.25,0.0,10.16,29.31,7.79,0.0
20230730:1130,0.0,0.0,0.0,-4.06,29.35,8.21,0.0
20230730:1230,0.0,0.0,0.0,0.0,29.4,8.14,0.0
20230730:1330,0.0,0.0,0.0,0.0,29.34,8.0,0.0
20230730:1430,0.0,0.0,0.0,0.0,29.2,8.41,0.0
20230730:1530,0.0,0.0,0.0,0.0,29.09,8.34,0.0
20230730:1630,0.0,0.0,0.0,0.0,29.0,8.41,0.0
20230730:1730,0.0,0.0,0.0,0.0,28.94,8.62,0.0
20230730:1830,0.0,0.0,0.0,0.0,28.85,8.76,0.0
20230730:1930,0.0,0.0,0.0,0.0,28.74,8.41,0.0
20230730:2030,0.0,0.0,0.0,0.0,28.66,7.93,0.0
20230730:2130,0.0,0.0,0.0,0.0,28.59,8.14,0.0
20230730:2230,0.0,0.0,0.0,0.0,28.46,8.9,0.0
20230730:2330,15.45,23.25,0.0,4.92,28.53,8.97,0.0
20230731:0030,81.8,107.75,0.0,19.16,28.65,7.72,0.0
20230731:0130,152.4,178.35,0.0,33.26,28.8,8.21,0.0
20230731:0230,305.45,203.05,0.0,47.04,28.93,8.28,0.0
20230731:0330,401.15,245.35,0.0,59.98,29.07,7.59,0.0
20230731:0430,397.6,284.0,0.0,70.29,29.22,6.9,0.0
20230731:0530,275.15,306.5,0.0,72.42,29.32,6.69,0.0
20230731:0630,453.5,201.65,0.0,64.25,29.38,6.48,0.0
20230731:0730,366.0,222.35,0.0,51.93,29.37,6.21,0.0
20230731:0830,283.7,150.8,0.0,38.37,29.42,6.14,0.0
20230731:0930,148.2,90.8,0.0,24.35,29.43,6.14,0.0
20230731:1030,42.7,38.95,0.0,10.16,29.05,7.17,0.0
20230731:1130,0.0,0.0,0.0,-4.08,28.84,7.31,0.0
20230731:1230,0.0,0.0,0.0,0.0,28.85,7.79,0.0
20230731:1330,0.0,0.0,0.0,0.0,28.89,7.72,0.0
20230731:1430,0.0,0.0,0.0,0.0,28.97,7.31,0.0
20230731:1530,0.0,0.0,0.0,0.0,28.99,6.9,0.0
20230731:1630,0.0,0.0,0.0,0.0,28.91,6.41,0.0
20230731:1730,0.0,0.0,0.0,0.0,28.8,6.34,0.0
20230731:1830,0.0,0.0,0.0,0.0,28.71,6.34,0.0
20230731:1930,0.0,0.0,0.0,0.0,28.65,6.41,0.0
20230731:2030,0.0,0.0,0.0,0.0,28.62,6.21,0.0
20230731:2130,0.0,0.0,0.0,0.0,28.27,6.0,0.0
20230731:2230,0.0,0.0,0.0,0.0,28.59,5.31,0.0
20230731:2330,17.35,16.66,0.0,4.93,28.5,5.52,0.0
20230801:0030,86.25,84.85,0.0,19.19,28.04,5.38,0.0
20230801:0130,216.4,158.15,0.0,33.32,27.21,5.31,0.0
20230801:0230,281.05,196.3,0.0,47.13,26.58,4.55,0.0
20230801:0330,313.15,214.05,0.0,60.12,26.37,3.59,0.0
20230801:0430,358.3,214.0,0.0,70.5,26.82,2.97,0.0
20230801:0530,336.25,290.8,0.0,72.65,27.4,3.17,0.0
20230801:0630,456.3,233.6,0.0,64.4,27.84,3.38,0.0
20230801:0730,430.25,178.15,0.0,52.02,28.17,3.72,0.0
20230801:0830,270.65,141.4,0.0,38.41,28.41,3.79,0.0
20230801:0930,158.05,98.2,0.0,24.37,28.68,4.28,0.0
20230801:1030,50.1,40.05,0.0,10.15,29.03,3.72,0.0
20230801:1130,0.0,0.0,0.0,-4.1,29.11,2.34,0.0
20230801:1230,0.0,0.0,0.0,0.0,29.11,2.0,0.0
20230801:1330,0.0,0.0,0.0,0.0,29.19,1.86,0.0
20230801:1430,0.0,0.0,0.0,0.0,29.21,1.66,0.0
20230801:1530,0.0,0.0,0.0,0.0,29.2,2.21,0.0
20230801:1630,0.0,0.0,0.0,0.0,28.87,2.34,0.0
20230801:1730,0.0,0.0,0.0,0.0,28.51,2.97,0.0
20230801:1830,0.0,0.0,0.0,0.0,27.96,3.86,0.0
20230801:1930,0.0,0.0,0.0,0.0,27.52,4.21,0.0
20230801:2030,0.0,0.0,0.0,0.0,27.26,4.14,0.0
20230801:2130,0.0,0.0,0.0,0.0,27.33,4.69,0.0
20230801:2230,0.0,0.0,0.0,0.0,26.58,2.62,0.0
20230801:2330,5.5,18.47,0.0,4.95,26.82,6.07,0.0
20230802:0030,49.15,105.85,0.0,19.23,27.32,4.34,0.0
20230802:0130,211.0,175.15,0.0,33.38,27.64,3.93,0.0
20230802:0230,234.75,249.7,0.0,47.22,27.88,3.86,0.0
20230802:0330,266.7,273.55,0.0,60.26,28.04,3.79,0.0
20230802:0430,322.55,295.7,0.0,70.73,28.23,4.07,0.0
20230802:0530,357.4,285.85,0.0,72.89,28.4,4.48,0.0
20230802:0630,555.0,212.25,0.0,64.54,28.48,4.34,0.0
20230802:0730,376.0,221.55,0.0,52.1,28.6,4.14,0.0
20230802:0830,266.85,184.65,0.0,38.45,28.67,4.14,0.0
20230802:0930,105.95,104.6,0.0,24.38,28.67,4.41,0.0
20230802:1030,25.7,53.35,0.0,10.15,29.26,4.83,0.0
20230802:1130,0.0,0.0,0.0,-4.13,29.27,5.24,0.0
20230802:1230,0.0,0.0,0.0,0.0,29.25,6.14,0.0
20230802:1330,0.0,0.0,0.0,0.0,29.22,4.97,0.0
20230802:1430,0.0,0.0,0.0,0.0,29.2,4.21,0.0
20230802:1530,0.0,0.0,0.0,0.0,29.05,3.93,0.0
20230802:1630,0.0,0.0,0.0,0.0,28.12,3.86,0.0
20230802:1730,0.0,0.0,0.0,0.0,28.08,3.59,0.0
20230802:1830,0.0,0.0,0.0,0.0,27.46,4.0,0.0
20230802:1930,0.0,0.0,0.0,0.0,27.16,4.76,0.0
20230802:2030,0.0,0.0,0.0,0.0,27.97,4.14,0.0
20230802:2130,0.0,0.0,0.0,0.0,27.75,4.69,0.0
20230802:2230,0.0,0.0,0.0,0.0,28.06,2.69,0.0
20230802:2330,4.9,17.14,0.0,4.96,26.78,0.83,0.0
20230803:0030,6.75,75.45,0.0,19.27,26.53,2.07,0.0
20230803:0130,69.2,145.4,0.0,33.44,27.09,2.0,0.0
20230803:0230,9.0,135.25,0.0,47.32,26.8,4.0,0.0
20230803:0330,38.5,261.65,0.0,60.41,27.33,4.28,0.0
20230803:0430,209.9,311.1,0.0,70.95,27.53,2.97,0.0
20230803:0530,41.3,276.95,0.0,73.13,27.81,3.93,0.0
20230803:0630,2.1,170.25,0.0,64.69,27.67,4.0,0.0
