Latitude (decimal degrees):	60.500
Longitude (decimal degrees):	9.100
Elevation (m):	900
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231120:1230,5.85,54.9,0.0,8.21,-8.92,0.48,0.0
20231120:1330,1.25,29.44,0.0,4.97,-8.98,0.62,0.0
20231120:1430,0.0,4.3,0.0,0.27,-9.4,0.83,0.0
20231120:1530,0.0,0.0,0.0,0.0,-9.44,0.83,0.0
20231120:1630,0.0,0.0,0.0,0.0,-9.62,0.76,0.0
20231120:1730,0.0,0.0,0.0,0.0,-9.63,0.69,0.0
20231120:1830,0.0,0.0,0.0,0.0,-9.65,0.62,0.0
20231120:1930,0.0,0.0,0.0,0.0,-8.7,0.48,0.0
20231120:2030,0.0,0.0,0.0,0.0,-8.63,0.48,0.0
20231120:2130,0.0,0.0,0.0,0.0,-8.79,0.48,0.0
20231120:2230,0.0,0.0,0.0,0.0,-8.94,0.48,0.0
20231120:2330,0.0,0.0,0.0,0.0,-9.04,0.48,0.0
20231121:0030,0.0,0.0,0.0,0.0,-9.16,0.41,0.0
20231121:0130,0.0,0.0,0.0,0.0,-9.37,0.41,0.0
20231121:0230,0.0,0.0,0.0,0.0,-9.71,0.48,0.0
20231121:0330,0.0,0.0,0.0,0.0,-9.74,0.34,0.0
20231121:0430,0.0,0.0,0.0,0.0,-9.78,0.48,0.0
20231121:0530,0.0,0.0,0.0,0.0,-9.6,0.41,0.0
20231121:0630,0.0,0.0,0.0,0.0,-10.26,0.55,0.0
20231121:0730,0.0,0.0,0.0,-1.73,-10.05,0.62,0.0
20231121:0830,0.0,17.25,0.0,3.38,-9.91,0.55,0.0
20231121:0930,7.35,40.15,0.0,7.11,-9.41,0.41,0.0
20231121:1030,10.95,51.2,0.0,9.21,-8.46,0.28,0.0
20231121:1130,10.2,55.9,0.0,9.52,-7.81,0.34,0.0
20231121:1230,9.6,46.9,0.0,8.0,-7.79,0.41,0.0
20231121:1330,4.6,20.8,0.0,4.77,-7.4,0.48,0.0
20231121:1430,0.0,3.35,0.0,0.09,-7.62,0.62,0.0
20231121:1530,0.0,0.0,0.0,0.0,-8.24,0.76,0.0
20231121:1630,0.0,0.0,0.0,0.0,-8.66,0.76,0.0
20231121:1730,0.0,0.0,0.0,0.0,-9.02,0.83,0.0
20231121:1830,0.0,0.0,0.0,0.0,-9.74,0.97,0.0
20231121:1930,0.0,0.0,0.0,0.0,-9.41,0.9,0.0
20231121:2030,0.0,0.0,0.0,0.0,-9.62,0.9,0.0
20231121:2130,0.0,0.0,0.0,0.0,-10.06,0.97,0.0
20231121:2230,0.0,0.0,0.0,0.0,-10.24,0.9,0.0
20231121:2330,0.0,0.0,0.0,0.0,-10.44,0.9,0.0
20231122:0030,0.0,0.0,0.0,0.0,-9.9,0.9,0.0
20231122:0130,0.0,0.0,0.0,0.0,-9.44,0.9,0.0
20231122:0230,0.0,0.0,0.0,0.0,-9.31,1.03,0.0
20231122:0330,0.0,0.0,0.0,0.0,-9.11,1.1,0.0
20231122:0430,0.0,0.0,0.0,0.0,-8.67,1.17,0.0
20231122:0530,0.0,0.0,0.0,0.0,-8.16,1.31,0.0
20231122:0630,0.0,0.0,0.0,0.0,-7.54,1.38,0.0
20231122:0730,0.0,0.0,0.0,-1.95,-7.32,1.45,0.0
20231122:0830,0.0,10.9,0.0,3.15,-6.85,1.59,0.0
20231122:0930,0.0,29.45,0.0,6.89,-6.28,1.66,0.0
20231122:1030,0.0,32.7,0.0,8.99,-5.48,1.52,0.0
20231122:1130,0.1,47.5,0.0,9.3,-4.88,1.66,0.0
20231122:1230,0.05,50.7,0.0,7.79,-3.96,1.66,0.0
20231122:1330,0.15,27.51,0.0,4.58,-3.25,1.72,0.0
20231122:1430,0.0,0.0,0.0,-0.09,-3.01,1.72,0.0
20231122:1530,0.0,0.0,0.0,0.0,-3.0,2.0,0.0
20231122:1630,0.0,0.0,0.0,0.0,-2.84,2.41,0.0
20231122:1730,0.0,0.0,0.0,0.0,-2.61,2.62,0.0
20231122:1830,0.0,0.0,0.0,0.0,-2.39,2.55,0.0
20231122:1930,0.0,0.0,0.0,0.0,-2.63,2.07,0.0
20231122:2030,0.0,0.0,0.0,0.0,-3.29,1.93,0.0
20231122:2130,0.0,0.0,0.0,0.0,-3.87,1.72,0.0
20231122:2230,0.0,0.0,0.0,0.0,-4.52,1.79,0.0
20231122:2330,0.0,0.0,0.0,0.0,-3.9,1.72,0.0
20231123:0030,0.0,0.0,0.0,0.0,-4.04,1.79,0.0
20231123:0130,0.0,0.0,0.0,0.0,-4.23,1.86,0.0
20231123:0230,0.0,0.0,0.0,0.0,-4.22,1.93,0.0
20231123:0330,0.0,0.0,0.0,0.0,-4.29,2.07,0.0
20231123:0430,0.0,0.0,0.0,0.0,-3.95,2.41,0.0
20231123:0530,0.0,0.0,0.0,0.0,-3.55,2.48,0.0
20231123:0630,0.0,0.0,0.0,0.0,-3.53,2.48,0.0
20231123:0730,0.0,0.0,0.0,-2.18,-4.55,2.0,0.0
20231123:0830,0.0,20.15,0.0,2.93,-4.6,2.07,0.0
20231123:0930,28.2,49.15,0.0,6.66,-4.91,2.0,0.0
20231123:1030,33.85,65.25,0.0,8.77,-4.68,2.07,0.0
20231123:1130,20.9,70.25,0.0,9.09,-4.09,2.28,0.0
20231123:1230,24.4,56.25,0.0,7.59,-3.29,2.34,0.0
20231123:1330,22.85,21.14,0.0,4.4,-3.09,2.55,0.0
20231123:1430,0.0,0.0,0.0,-0.26,-3.53,2.69,0.0
20231123:1530,0.0,0.0,0.0,0.0,-4.24,2.69,0.0
20231123:1630,0.0,0.0,0.0,0.0,-4.76,2.76,0.0
20231123:1730,0.0,0.0,0.0,0.0,-5.24,2.55,0.0
20231123:1830,0.0,0.0,0.0,0.0,-5.63,2.41,0.0
20231123:1930,0.0,0.0,0.0,0.0,-5.09,2.69,0.0
20231123:2030,0.0,0.0,0.0,0.0,-5.22,2.83,0.0
20231123:2130,0.0,0.0,0.0,0.0,-5.92,2.83,0.0
20231123:2230,0.0,0.0,0.0,0.0,-6.49,2.83,0.0
20231123:2330,0.0,0.0,0.0,0.0,-6.63,2.97,0.0
20231124:0030,0.0,0.0,0.0,0.0,-6.79,2.69,0.0
20231124:0130,0.0,0.0,0.0,0.0,-6.95,2.55,0.0
20231124:0230,0.0,0.0,0.0,0.0,-7.13,2.41,0.0
20231124:0330,0.0,0.0,0.0,0.0,-7.39,2.48,0.0
20231124:0430,0.0,0.0,0.0,0.0,-7.54,2.55,0.0
20231124:0530,0.0,0.0,0.0,0.0,-7.8,2.41,0.0
20231124:0630,0.0,0.0,0.0,0.0,-8.11,2.14,0.0
20231124:0730,0.0,0.0,0.0,-2.39,-7.29,2.0,0.0
20231124:0830,0.0,19.4,0.0,2.71,-7.53,2.07,0.0
20231124:0930,16.25,49.8,0.0,6.45,-7.35,2.14,0.0
20231124:1030,76.16,44.4,0.0,8.56,-6.79,2.34,0.0
20231124:1130,88.21,42.6,0.0,8.89,-6.5,2.48,0.0
20231124:1230,61.16,40.6,0.0,7.4,-6.32,2.41,0.0
20231124:1330,16.25,23.29,0.0,4.22,-6.45,2.34,0.0
20231124:1430,0.0,0.0,0.0,-0.43,-6.69,2.28,0.0
20231124:1530,0.0,0.0,0.0,0.0,-7.13,2.28,0.0
20231124:1630,0.0,0.0,0.0,0.0,-7.44,2.28,0.0
20231124:1730,0.0,0.0,0.0,0.0,-7.43,2.34,0.0
20231124:1830,0.0,0.0,0.0,0.0,-7.3,2.41,0.0
20231124:1930,0.0,0.0,0.0,0.0,-6.44,2.69,0.0
20231124:2030,0.0,0.0,0.0,0.0,-5.96,2.62,0.0
20231124:2130,0.0,0.0,0.0,0.0,-5.87,2.55,0.0
20231124:2230,0.0,0.0,0.0,0.0,-6.08,2.41,0.0
20231124:2330,0.0,0.0,0.0,0.0,-6.6,2.28,0.0
20231125:0030,0.0,0.0,0.0,0.0,-7.16,2.21,0.0
20231125:0130,0.0,0.0,0.0,0.0,-7.98,2.07,0.0
20231125:0230,0.0,0.0,0.0,0.0,-8.74,1.93,0.0
20231125:0330,0.0,0.0,0.0,0.0,-9.54,1.93,0.0
20231125:0430,0.0,0.0,0.0,0.0,-10.25,1.86,0.0
20231125:0530,0.0,0.0,0.0,0.0,-10.98,1.93,0.0
20231125:0630,0.0,0.0,0.0,0.0,-11.49,2.0,0.0
20231125:0730,0.0,0.0,0.0,-2.61,-10.48,1.86,0.0
20231125:0830,0.0,17.3,0.0,2.5,-10.0,1.86,0.0
20231125:0930,11.2,48.25,0.0,6.24,-8.95,1.79,0.0
20231125:1030,42.96,59.35,0.0,8.35,-8.29,1.66,0.0
20231125:1130,61.21,52.75,0.0,8.69,-8.15,1.59,0.0
20231125:1230,50.86,41.0,0.0,7.22,-8.46,1.66,0.0
20231125:1330,20.85,17.92,0.0,4.05,-8.61,1.66,0.0
20231125:1430,0.0,0.0,0.0,-0.59,-9.49,1.72,0.0
20231125:1530,0.0,0.0,0.0,0.0,-10.11,1.72,0.0
20231125:1630,0.0,0.0,0.0,0.0,-10.46,1.72,0.0
20231125:1730,0.0,0.0,0.0,0.0,-10.98,1.72,0.0
20231125:1830,0.0,0.0,0.0,0.0,-11.41,1.72,0.0
20231125:1930,0.0,0.0,0.0,0.0,-11.65,1.79,0.0
20231125:2030,0.0,0.0,0.0,0.0,-12.05,1.86,0.0
20231125:2130,0.0,0.0,0.0,0.0,-12.3,1.86,0.0
20231125:2230,0.0,0.0,0.0,0.0,-12.5,1.86,0.0
20231125:2330,0.0,0.0,0.0,0.0,-12.73,1.79,0.0
20231126:0030,0.0,0.0,0.0,0.0,-13.05,1.72,0.0
20231126:0130,0.0,0.0,0.0,0.0,-13.15,1.66,0.0
20231126:0230,0.0,0.0,0.0,0.0,-13.41,1.59,0.0
20231126:0330,0.0,0.0,0.0,0.0,-13.62,1.59,0.0
20231126:0430,0.0,0.0,0.0,0.0,-13.74,1.52,0.0
20231126:0530,0.0,0.0,0.0,0.0,-13.78,1.45,0.0
20231126:0630,0.0,0.0,0.0,0.0,-13.88,1.38,0.0
20231126:0730,0.0,0.0,0.0,0.0,-12.07,1.24,0.0
20231126:0830,0.0,15.45,0.0,2.29,-11.54,1.1,0.0
20231126:0930,9.35,51.3,0.0,6.03,-10.52,0.97,0.0
20231126:1030,23.65,60.5,0.0,8.16,-9.49,0.76,0.0
20231126:1130,60.91,43.75,0.0,8.5,-8.73,0.69,0.0
20231126:1230,37.81,35.55,0.0,7.04,-8.73,0.62,0.0
20231126:1330,18.65,17.92,0.0,3.88,-9.35,0.76,0.0
20231126:1430,0.0,0.0,0.0,-0.74,-9.86,0.83,0.0
20231126:1530,0.0,0.0,0.0,0.0,-10.02,0.76,0.0
20231126:1630,0.0,0.0,0.0,0.0,-10.34,0.83,0.0
20231126:1730,0.0,0.0,0.0,0.0,-10.56,0.9,0.0
20231126:1830,0.0,0.0,0.0,0.0,-10.99,0.97,0.0
20231126:1930,0.0,0.0,0.0,0.0,-9.83,0.69,0.0
20231126:2030,0.0,0.0,0.0,0.0,-10.44,0.76,0.0
20231126:2130,0.0,0.0,0.0,0.0,-10.87,0.83,0.0
20231126:2230,0.0,0.0,0.0,0.0,-11.15,0.83,0.0
20231126:2330,0.0,0.0,0.0,0.0,-11.37,0.83,0.0
20231127:0030,0.0,0.0,0.0,0.0,-11.4,0.83,0.0
20231127:0130,0.0,0.0,0.0,0.0,-11.51,0.97,0.0
20231127:0230,0.0,0.0,0.0,0.0,-11.9,1.1,0.0
20231127:0330,0.0,0.0,0.0,0.0,-12.42,1.24,0.0
20231127:0430,0.0,0.0,0.0,0.0,-12.46,1.17,0.0
20231127:0530,0.0,0.0,0.0,0.0,-12.53,1.17,0.0
20231127:0630,0.0,0.0,0.0,0.0,-12.8,1.17,0.0
20231127:0730,0.0,0.0,0.0,0.0,-12.3,1.17,0.0
20231127:0830,0.0,8.55,0.0,2.09,-11.93,1.1,0.0
20231127:0930,4.4,30.6,0.0,5.83,-11.61,1.03,0.0
20231127:1030,2.8,45.1,0.0,7.96,-11.2,1.03,0.0
20231127:1130,1.25,49.95,0.0,8.32,-10.84,0.97,0.0
20231127:1230,4.95,42.25,0.0,6.87,-10.85,1.03,0.0
20231127:1330,2.65,23.06,0.0,3.72,-11.14,1.1,0.0
20231127:1430,0.0,0.0,0.0,-0.88,-11.74,1.17,0.0
20231127:1530,0.0,0.0,0.0,0.0,-12.8,1.24,0.0
20231127:1630,0.0,0.0,0.0,0.0,-13.2,1.17,0.0
20231127:1730,0.0,0.0,0.0,0.0,-13.45,1.1,0.0
20231127:1830,0.0,0.0,0.0,0.0,-13.37,1.03,0.0
20231127:1930,0.0,0.0,0.0,0.0,-13.19,1.1,0.0
20231127:2030,0.0,0.0,0.0,0.0,-13.42,1.17,0.0
20231127:2130,0.0,0.0,0.0,0.0,-13.56,1.1,0.0
20231127:2230,0.0,0.0,0.0,0.0,-13.8,1.31,0.0
20231127:2330,0.0,0.0,0.0,0.0,-14.32,1.24,0.0
20231128:0030,0.0,0.0,0.0,0.0,-15.3,1.52,0.0
20231128:0130,0.0,0.0,0.0,0.0,-16.07,1.45,0.0
20231128:0230,0.0,0.0,0.0,0.0,-16.33,1.38,0.0
20231128:0330,0.0,0.0,0.0,0.0,-17.11,1.17,0.0
20231128:0430,0.0,0.0,0.0,0.0,-18.07,1.24,0.0
20231128:0530,0.0,0.0,0.0,0.0,-19.17,1.38,0.0
20231128:0630,0.0,0.0,0.0,0.0,-19.93,1.59,0.0
20231128:0730,0.0,0.0,0.0,0.0,-19.77,1.66,0.0
20231128:0830,0.0,14.15,0.0,1.89,-20.14,1.79,0.0
20231128:0930,6.05,37.96,0.0,5.64,-19.84,1.79,0.0
20231128:1030,32.9,56.75,0.0,7.77,-18.53,1.72,0.0
20231128:1130,8.7,68.3,0.0,8.14,-17.89,1.66,0.0
20231128:1230,0.4,53.05,0.0,6.7,-17.18,1.59,0.0
20231128:1330,1.45,24.29,0.0,3.57,-16.47,1.45,0.0
20231128:1430,0.0,0.0,0.0,-1.02,-16.23,1.52,0.0
20231128:1530,0.0,0.0,0.0,0.0,-16.26,1.52,0.0
20231128:1630,0.0,0.0,0.0,0.0,-16.34,1.59,0.0
20231128:1730,0.0,0.0,0.0,0.0,-16.18,1.66,0.0
20231128:1830,0.0,0.0,0.0,0.0,-16.17,1.66,0.0
20231128:1930,0.0,0.0,0.0,0.0,-15.31,1.72,0.0
20231128:2030,0.0,0.0,0.0,0.0,-14.95,1.72,0.0
20231128:2130,0.0,0.0,0.0,0.0,-14.72,1.66,0.0
20231128:2230,0.0,0.0,0.0,0.0,-14.51,1.59,0.0
20231128:2330,0.0,0.0,0.0,0.0,-14.17,1.66,0.0
20231129:0030,0.0,0.0,0.0,0.0,-13.98,1.66,0.0
20231129:0130,0.0,0.0,0.0,0.0,-13.82,1.66,0.0
20231129:0230,0.0,0.0,0.0,0.0,-13.8,1.66,0.0
20231129:0330,0.0,0.0,0.0,0.0,-13.75,1.66,0.0
20231129:0430,0.0,0.0,0.0,0.0,-13.33,1.66,0.0
20231129:0530,0.0,0.0,0.0,0.0,-13.01,1.66,0.0
20231129:0630,0.0,0.0,0.0,0.0,-12.59,1.72,0.0
20231129:0730,0.0,0.0,0.0,0.0,-11.42,1.66,0.0
20231129:0830,0.0,7.8,0.0,1.7,-11.34,1.66,0.0
20231129:0930,0.95,30.48,0.0,5.45,-11.06,1.66,0.0
20231129:1030,1.85,44.75,0.0,7.59,-10.59,1.52,0.0
20231129:1130,0.2,43.1,0.0,7.97,-10.16,1.59,0.0
20231129:1230,0.1,30.95,0.0,6.54,-9.82,1.59,0.0
20231129:1330,0.0,11.6,0.0,3.43,-9.45,1.66,0.0
20231129:1430,0.0,0.0,0.0,-1.15,-9.65,1.45,0.0
20231129:1530,0.0,0.0,0.0,0.0,-9.6,1.45,0.0
20231129:1630,0.0,0.0,0.0,0.0,-9.43,1.45,0.0
20231129:1730,0.0,0.0,0.0,0.0,-9.45,1.45,0.0
20231129:1830,0.0,0.0,0.0,0.0,-9.41,1.38,0.0
20231129:1930,0.0,0.0,0.0,0.0,-8.81,1.31,0.0
20231129:2030,0.0,0.0,0.0,0.0,-9.08,1.17,0.0
20231129:2130,0.0,0.0,0.0,0.0,-9.06,1.1,0.0
20231129:2230,0.0,0.0,0.0,0.0,-9.07,1.03,0.0
20231129:2330,0.0,0.0,0.0,0.0,-8.98,0.97,0.0
20231130:0030,0.0,0.0,0.0,0.0,-8.94,0.97,0.0
20231130:0130,0.0,0.0,0.0,0.0,-9.31,1.03,0.0
20231130:0230,0.0,0.0,0.0,0.0,-9.24,0.9,0.0
20231130:0330,0.0,0.0,0.0,0.0,-9.48,0.97,0.0
20231130:0430,0.0,0.0,0.0,0.0,-9.8,1.03,0.0
20231130:0530,0.0,0.0,0.0,0.0,-9.89,1.03,0.0
20231130:0630,0.0,0.0,0.0,0.0,-9.85,0.9,0.0
20231130:0730,0.0,0.0,0.0,0.0,-9.0,1.1,0.0
20231130:0830,0.0,10.4,0.0,1.52,-9.16,0.9,0.0
20231130:0930,10.15,31.1,0.0,5.27,-9.69,0.9,0.0
20231130:1030,1.55,35.1,0.0,7.42,-9.7,0.9,0.0
20231130:1130,7.35,46.85,0.0,7.8,-9.49,0.9,0.0
20231130:1230,16.1,27.75,0.0,6.39,-9.4,0.83,0.0
20231130:1330,4.65,19.13,0.0,3.29,-9.35,0.9,0.0
20231130:1430,0.0,0.0,0.0,-1.28,-9.63,0.9,0.0
20231130:1530,0.0,0.0,0.0,0.0,-10.05,0.9,0.0
20231130:1630,0.0,0.0,0.0,0.0,-10.23,0.97,0.0
20231130:1730,0.0,0.0,0.0,0.0,-10.3,0.9,0.0
20231130:1830,0.0,0.0,0.0,0.0,-10.39,0.9,0.0
20231130:1930,0.0,0.0,0.0,0.0,-9.83,0.83,0.0
20231130:2030,0.0,0.0,0.0,0.0,-9.99,0.97,0.0
20231130:2130,0.0,0.0,0.0,0.0,-10.58,1.1,0.0
20231130:2230,0.0,0.0,0.0,0.0,-10.91,1.03,0.0
20231130:2330,0.0,0.0,0.0,0.0,-12.41,1.17,0.0
20231201:0030,0.0,0.0,0.0,0.0,-13.12,1.17,0.0
20231201:0130,0.0,0.0,0.0,0.0,-13.8,1.17,0.0
20231201:0230,0.0,0.0,0.0,0.0,-14.3,1.1,0.0
20231201:0330,0.0,0.0,0.0,0.0,-14.68,1.17,0.0
20231201:0430,0.0,0.0,0.0,0.0,-15.35,1.17,0.0
20231201:0530,0.0,0.0,0.0,0.0,-15.94,1.24,0.0
20231201:0630,0.0,0.0,0.0,0.0,-16.13,1.24,0.0
20231201:0730,0.0,0.0,0.0,0.0,-16.89,1.38,0.0
20231201:0830,0.0,9.75,0.0,1.34,-17.22,1.38,0.0
20231201:0930,25.75,26.71,0.0,5.1,-17.1,1.31,0.0
20231201:1030,55.06,43.05,0.0,7.25,-16.63,1.24,0.0
20231201:1130,71.21,38.45,0.0,7.65,-16.22,1.17,0.0
20231201:1230,51.36,32.8,0.0,6.25,-16.06,1.24,0.0
20231201:1330,18.2,13.47,0.0,3.16,-16.4,1.24,0.0
20231201:1430,0.0,0.0,0.0,-1.39,-17.19,1.31,0.0
20231201:1530,0.0,0.0,0.0,0.0,-17.9,1.31,0.0
20231201:1630,0.0,0.0,0.0,0.0,-18.34,1.31,0.0
20231201:1730,0.0,0.0,0.0,0.0,-18.41,1.24,0.0
20231201:1830,0.0,0.0,0.0,0.0,-18.8,1.24,0.0
20231201:1930,0.0,0.0,0.0,0.0,-17.83,1.24,0.0
20231201:2030,0.0,0.0,0.0,0.0,-18.03,1.24,0.0
20231201:2130,0.0,0.0,0.0,0.0,-17.79,1.1,0.0
20231201:2230,0.0,0.0,0.0,0.0,-17.68,1.03,0.0
20231201:2330,0.0,0.0,0.0,0.0,-17.53,0.97,0.0
20231202:0030,0.0,0.0,0.0,0.0,-17.33,0.97,0.0
20231202:0130,0.0,0.0,0.0,0.0,-16.81,0.9,0.0
20231202:0230,0.0,0.0,0.0,0.0,-16.55,0.9,0.0
